
前线声明公告,#genre#

不定时更新,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
视频弹窗二维码,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
切勿相信，勿转账,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
CCTV1,http://api.itv.itv888.cn:8080/hls/f5fuln3kthe/index.m3u8
CCTV2,http://api.itv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV3,http://api.itv.itv888.cn:8080/hls/aikp69mli0d/index.m3u8
CCTV4,http://api.itv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
CCTV5,http://api.itv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
CCTV6,http://api.itv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
CCTV7,http://api.itv.itv888.cn:8080/hls/3udggaszi1i/index.m3u8
CCTV8,http://api.itv.itv888.cn:8080/hls/vseo1nm7qp/index.m3u8
CCTV9,http://api.itv.itv888.cn:8080/hls/bsmkmf3jrp4/index.m3u8
CCTV10,http://api.itv.itv888.cn:8080/hls/wd86wxjxn8/index.m3u8
CCTV11,http://api.itv.itv888.cn:8080/hls/og4kq4cnqm/index.m3u8
CCTV12,http://api.itv.itv888.cn:8080/hls/nwfb31kwc3l/index.m3u8
CCTV13,http://api.itv.itv888.cn:8080/hls/9sxg4yjgot/index.m3u8
CCTV14,http://api.itv.itv888.cn:8080/hls/dyfpqk8fpzi/index.m3u8
CCTV15,http://api.itv.itv888.cn:8080/hls/hcwu4ianhgw/index.m3u8
CCTV16,http://api.itv.itv888.cn:8080/hls/qazacsm0hgl/index.m3u8
CCTV17,http://api.itv.itv888.cn:8080/hls/5t4bgijh9da/index.m3u8
CCTV5+,http://api.itv.itv888.cn:8080/hls/xsb4znrv3c/index.m3u8
湖南卫视,http://api.itv.itv888.cn:8080/hls/hoxiunz7ce/index.m3u8
